Time,HeaterTemp,HeaterPWM,MotorSpeed,MotorPWM,Battery,BatteryV,BatteryT,Event
2025-04-18 10:43:52,0.00,0.00,0.00,0.00,99,4.20,27.51,Exiting with SingleYellow
2025-04-18 10:43:52,0.00,0.00,0.00,0.00,99,4.20,27.51,HALL sensor interrupted.
